cell_id,dataset_protocol,method,beta,alpha_dir,seed,rounds,role,expected
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed314,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,314,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed2718,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,2718,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed9001,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,9001,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed2027,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,2027,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed42,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,42,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed123,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,123,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed777,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,777,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed2026,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,2026,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed3407,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,3407,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed11,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,11,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed314,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,314,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed2718,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,2718,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed9001,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,9001,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Utility-Only__seed2027,CICIDS2017_FILE_DISJOINT_OOD,Utility-Only,0.4,0.5,2027,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed42,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,42,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed123,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,123,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed777,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,777,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed2026,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,2026,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed3407,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,3407,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed11,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,11,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed314,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,314,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed2718,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,2718,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed9001,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,9001,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__CB-Score__seed2027,CICIDS2017_FILE_DISJOINT_OOD,CB-Score,0.4,0.5,2027,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed42,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,42,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed123,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,123,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed777,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,777,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed2026,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,2026,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed3407,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,3407,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed11,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,11,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed314,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,314,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed2718,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,2718,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed9001,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,9001,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oort-Style-Adapted__seed2027,CICIDS2017_FILE_DISJOINT_OOD,Oort-Style-Adapted,0.4,0.5,2027,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed42,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,42,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed123,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,123,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed777,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,777,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed2026,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,2026,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed3407,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,3407,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed11,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,11,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed314,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,314,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed2718,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,2718,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed9001,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,9001,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Oracle-Score-Exact__seed2027,CICIDS2017_FILE_DISJOINT_OOD,Oracle-Score-Exact,0.4,0.5,2027,30,cross_capture_OOD_stress,1
