cell_id,dataset_protocol,selection,aggregation,model_attack,reported_utility,beta,seed,role,expected
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__sign-flip__honest__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,NA,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__sign-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,NA,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__sign-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,NA,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__sign-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,NA,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__clean__honest__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,NA,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__label-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,NA,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__Norm-Clipped-Averaging__sign-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,NA,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__label-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,0.4,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__sign-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,0.4,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__clean__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,0.4,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__label-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.4,2027,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,42,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,123,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,777,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,2026,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,3407,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,11,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,314,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,2718,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,9001,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__CB-Score__Norm-Clipped-Averaging__sign-flip__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.4,2027,core_12_cell_factorial,1
ROB__CICIoT2023_R1__Full-Contextual__FedAvg__clean__honest__seed42,CICIoT2023_R1,Full-Contextual,FedAvg,clean,honest,NA,42,core_12_cell_factorial,1
ROB__CICIoT2023_R1__Full-Contextual__FedAvg__clean__honest__seed123,CICIoT2023_R1,Full-Contextual,FedAvg,clean,honest,NA,123,core_12_cell_factorial,1
ROB__CICIoT2023_R1__Full-Contextual__FedAvg__clean__honest__seed777,CICIoT2023_R1,Full-Contextual,FedAvg,clean,honest,NA,777,core_12_cell_factorial,1
ROB__CICIoT2023_R1__Full-Contextual__FedAvg__clean__honest__seed2026,CICIoT2023_R1,Full-Contextual,FedAvg,clean,honest,NA,2026,core_12_cell_factorial,1
