cell_id,dataset_protocol,method,beta,partition,seed,rounds,role,expected
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed3407,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,3407,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed11,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,11,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed314,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,314,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed2718,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,2718,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed9001,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,9001,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed2027,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,2027,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed42,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,42,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed123,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,123,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed777,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,777,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed2026,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,2026,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed3407,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,3407,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed11,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,11,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed314,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,314,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed2718,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,2718,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed9001,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,9001,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oracle-Score-Exact__seed2027,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oracle-Score-Exact,0.4,source-group-preserving deterministic balanced bin packing,2027,30,natural_domain_sensitivity,1
